relative_path,label
/wiki/Abstract_Tech,Abstract Tech
/wiki/Acid_Pixie,Acid Pixie
/wiki/Acidwave,Acidwave
/wiki/Adventurecore,Adventurecore
/wiki/Afrofuturism,Afrofuturism
/wiki/Afro-Victorian,Afro-Victorian
/wiki/After_Hours,After Hours
/wiki/Agrogirl/Agroboy,Agropeople
/wiki/Alien,Alien
/wiki/Alternative,Alternative
/wiki/Americana,Americana
/wiki/American_Pioneers,American Pioneers
/wiki/American_Revolution,American Revolution
/wiki/Ancient_Egypt,Ancient Egypt
/wiki/Androgynous,Androgynous
/wiki/Anemoiacore,Anemoiacore
/wiki/Angelcore,Angelcore
/wiki/Anglo_Gothic,Anglo Gothic
/wiki/Angura_Kei,Angura Kei
/wiki/Animecore,Animecore
/wiki/Anti-Fashion,Anti-Fashion
/wiki/Art_Academia,Art Academia
/wiki/Arts_and_Crafts_Movement,Arts and Crafts Movement
/wiki/Art_Deco,Art Deco
/wiki/Art_Hoe,Art Hoe
/wiki/Art_Nouveau,Art Nouveau
/wiki/Athlete,Athlete
/wiki/Atompunk,Atompunk
/wiki/Auroracore,Auroracore
/wiki/Autumn,Autumn
/wiki/Avant-garde,Avant-garde
/wiki/Babycore,Babycore
/wiki/Babygirl,Babygirl
/wiki/Barbiecore,Barbiecore
/wiki/Bardcore,Bardcore
/wiki/Baddie,Baddie
/wiki/Baddie,Luxurious Baddie
/wiki/Ballet_Academia,Ballet Academia
/wiki/Baroque,Baroque
/wiki/Bastardcore,Bastardcore
/wiki/Beach_Bunny,Beach Bunny
/wiki/Beatnik,Beatnik
/wiki/Bibliopunk,Bibliopunk
/wiki/Biker,Biker
/wiki/Bimbo_Casual,Bold Casual
/wiki/Biopunk,Biopunk
/wiki/Bizarro_Fiction,Bizarro Fiction
/wiki/Bookstore_Girl,Bookstore Girl
/wiki/Bloomcore,Bloomcore
/wiki/Bodikon,Bodikon
/wiki/Bohemian,Bohemian
/wiki/Bosozoku,Bōsōzoku
/wiki/Boujee,Boujee
/wiki/Breakcore,Breakcore
/wiki/Brocore,Brocore
/wiki/Bronzepunk,Bronzepunk
/wiki/Bubble_Goth,Bubble Goth
/wiki/Bubblegum_Bitch,Bubblegum Bitch
/wiki/Bubblegum_Witch,Bubblegum Baddie
/wiki/Cabincore,Cabincore
/wiki/Cagole,Cagole
/wiki/Camp,Camp
/wiki/Campcore,Campcore
/wiki/Candycore,Candycore
/wiki/Carcore,Carcore
/wiki/Cargopunk,Cargopunk
/wiki/Carnivalcore,Carnivalcore
